epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.42,1.41389,1.77224,1.11184,0.46833,0.39268,0.38248,0.22369,1.22728,1.0402,1.04422,0.000277007,0.000277007,0.000277007
2,92.9133,1.27844,1.16882,1.07094,0.46708,0.49516,0.49272,0.29327,1.1651,0.92797,1.02903,0.000518065,0.000518065,0.000518065
3,137.455,1.24502,1.04419,1.05892,0.65583,0.4993,0.55375,0.32631,1.14322,0.92208,1.03118,0.000722472,0.000722472,0.000722472
4,181.599,1.20889,0.96842,1.05174,0.66229,0.50203,0.57573,0.35972,1.1187,0.8435,1.01993,0.000668066,0.000668066,0.000668066
5,225.259,1.16726,0.89684,1.03677,0.74755,0.53805,0.65592,0.41021,1.06552,0.75952,1.0044,0.000613088,0.000613088,0.000613088
6,268.944,1.11638,0.82791,1.01201,0.69201,0.56209,0.63191,0.38745,1.09988,0.76593,1.0249,0.00055811,0.00055811,0.00055811
7,311.407,1.08939,0.78164,1.00031,0.7021,0.57825,0.65995,0.41705,1.07162,0.73815,1.00973,0.000503132,0.000503132,0.000503132
8,354.181,1.06237,0.74419,0.99039,0.80249,0.58834,0.69913,0.43648,1.05864,0.71946,1.00127,0.000448154,0.000448154,0.000448154
9,397.184,1.03376,0.71308,0.97623,0.80626,0.6079,0.70493,0.44813,1.02315,0.68703,0.99847,0.000393176,0.000393176,0.000393176
10,439.374,1.00584,0.68247,0.96787,0.78237,0.65049,0.73476,0.47273,1.02272,0.67345,0.99391,0.000338198,0.000338198,0.000338198
11,482.006,0.98628,0.65839,0.96076,0.80707,0.66383,0.74501,0.49087,1.00575,0.64844,0.99142,0.00028322,0.00028322,0.00028322
12,524.456,0.96476,0.63363,0.95312,0.82105,0.67717,0.75432,0.49708,0.99232,0.63487,0.98337,0.000228242,0.000228242,0.000228242
13,566.707,0.94402,0.61475,0.94579,0.81594,0.65103,0.75449,0.49783,0.98266,0.6224,0.98021,0.000173264,0.000173264,0.000173264
14,609.464,0.92189,0.5961,0.93814,0.82439,0.6901,0.77544,0.51861,0.96357,0.6102,0.974,0.000118286,0.000118286,0.000118286
15,652.213,0.90686,0.57892,0.93355,0.8733,0.6774,0.78084,0.53231,0.95141,0.59811,0.97137,6.3308e-05,6.3308e-05,6.3308e-05
